DULICA;PSC;OBCE
Školská;974 01;Banská Bystrica
Šoltésovej;974 01;Banská Bystrica
Štadlerovo nábrežie;974 01;Banská Bystrica
Štefánikovo nábrežie;974 01;Banská Bystrica
Švermova;974 04;Banská Bystrica
T. Andrašovana;974 01;Banská Bystrica
Tafírová;974 05;Banská Bystrica
Tajovského;974 01;Banská Bystrica
Tajovského;974 09;Banská Bystrica
Tatranská;974 11;Banská Bystrica
Technická ulica;974 01;Banská Bystrica
Terézie Vansovej;974 01;Banská Bystrica
Tibora Andrašovana;974 01;Banská Bystrica
Tichá;974 04;Banská Bystrica
Timravy;974 01;Banská Bystrica
Topásová ulica;974 05;Banská Bystrica
Topoľová;974 01;Banská Bystrica
Trieda Hradca Králové;974 04;Banská Bystrica
Trieda SNP;974 01;Banská Bystrica
Trnková;974 05;Banská Bystrica
Tulipánová;974 01;Banská Bystrica
Tulská;974 04;Banská Bystrica
Tyrkysová ulica;974 05;Banská Bystrica
Uľanská cesta;974 01;Banská Bystrica
Ulica Jakuba Pribicera;974 11;Banská Bystrica
Ulica Jána Móryho;974 11;Banská Bystrica
Ulica richtára Ondreja;974 11;Banská Bystrica
Ulica Svetozára Stračinu;974 11;Banská Bystrica
Ulička;974 09;Banská Bystrica
Vajanského námestie;974 01;Banská Bystrica
Veterná;974 11;Banská Bystrica
Viestova;974 01;Banská Bystrica
Višňová;974 09;Banská Bystrica
Vŕbová;974 05;Banská Bystrica
Vršacká ulica;974 04;Banská Bystrica
Wolkerova;974 04;Banská Bystrica
Zadarská ulica;974 04;Banská Bystrica
Zafírová ulica;974 05;Banská Bystrica
Záhradná;974 01;Banská Bystrica
Záhumnie;974 09;Banská Bystrica
Závoz;974 09;Banská Bystrica
Zdenka Mikulu;974 11;Banská Bystrica
Zelená;974 04;Banská Bystrica
Zimná;974 05;Banská Bystrica
Zlatá;974 05;Banská Bystrica
Zvolenská cesta;974 05;Banská Bystrica
Zvončeková ulica;974 01;Banská Bystrica
Železná ulica;974 05;Banská Bystrica
Železničiarska;974 01;Banská Bystrica
Žltý Piesok;974 01;Banská Bystrica
1. mája;969 01;Banská Štiavnica
29.augusta;969 01;Banská Štiavnica
8. mája;969 01;Banská Štiavnica
Akademická;969 01;Banská Štiavnica
Alžbety Gwerkovej Göllnerovej;969 01;Banská Štiavnica
Andreja Kmeťa;969 01;Banská Štiavnica
Andreja Sládkoviča;969 01;Banská Štiavnica
Andreja Trúchleho Sytnianskeho;969 01;Banská Štiavnica
Antolská;969 01;Banská Štiavnica
Antona Bernoláka;969 01;Banská Štiavnica
Antona Pécha;969 01;Banská Štiavnica
Banícka;969 01;Banská Štiavnica
Banky;969 01;Banská Štiavnica
Belianska;966 15;Banská Štiavnica
Belianske jazero;969 01;Banská Štiavnica
Bočná;969 01;Banská Štiavnica
Botanická;969 01;Banská Štiavnica
Boženy Němcovej;969 01;Banská Štiavnica
Boženy Slančíkovej-Timravy;969 01;Banská Štiavnica
Bratská;969 01;Banská Štiavnica
Brezová;969 01;Banská Štiavnica
Budovateľská;969 01;Banská Štiavnica
Cintorínska;969 01;Banská Štiavnica
Daniela Licharda;969 01;Banská Štiavnica
Dolná;969 01;Banská Štiavnica
Dolná Resla;969 01;Banská Štiavnica
Dolná ružová;969 01;Banská Štiavnica
Dr. Imricha Tótha;969 01;Banská Štiavnica
Dr. Vladimíra Clementisa;969 01;Banská Štiavnica
Drevená;969 01;Banská Štiavnica
Drieňová;969 01;Banská Štiavnica
Družicová;969 01;Banská Štiavnica
Družstevná;969 01;Banská Štiavnica
Ďurka Langsfelda;966 15;Banská Štiavnica
Eleny Maróthy-Šoltésovej;969 01;Banská Štiavnica
Energetikov;969 01;Banská Štiavnica
Farská;969 01;Banská Štiavnica
Ferka Urbánka;969 01;Banská Štiavnica
G. Z. Laskomerského;969 01;Banská Štiavnica
Hadová;969 01;Banská Štiavnica
Hájik;969 01;Banská Štiavnica
Hlavná;969 01;Banská Štiavnica
Horná;969 01;Banská Štiavnica
Horná Huta;969 01;Banská Štiavnica
Horná Resla;969 01;Banská Štiavnica
Horná ružová;969 01;Banská Štiavnica
Hutnícka;969 01;Banská Štiavnica
Ilijská;969 01;Banská Štiavnica
Ing. Štefana Višňovského;969 01;Banská Štiavnica
Ivana Krasku;969 01;Banská Štiavnica
Jána Amosa Komenského;969 01;Banská Štiavnica
Jána Bottu;969 01;Banská Štiavnica
Jána Hollého;969 01;Banská Štiavnica
Jána Palárika;969 01;Banská Štiavnica
Janka Jesenského;969 01;Banská Štiavnica
Janka Matušku;969 01;Banská Štiavnica
Jaroslava Augustu;969 01;Banská Štiavnica
Jozefa Cígera Hronského;969 01;Banská Štiavnica
Jozefa Gregora Tajovského;969 01;Banská Štiavnica
Jozefa Horáka;969 01;Banská Štiavnica
Jozefa Ignáca Bajzu;969 01;Banská Štiavnica
Jozefa Karola Hella;969 01;Banská Štiavnica
Jozefa Kollára;969 01;Banská Štiavnica
Jozefa Miloslava Hurbana;969 01;Banská Štiavnica
Jozefa Škultétyho;969 01;Banská Štiavnica
Juraja Fándlyho;969 01;Banská Štiavnica
Jurija Gagarina;969 01;Banská Štiavnica
Kamenná;969 01;Banská Štiavnica
Kammerhofská;969 01;Banská Štiavnica
Karola Šmidkeho;969 01;Banská Štiavnica
Katova;969 01;Banská Štiavnica
Klinger;969 01;Banská Štiavnica
Kolpašská;969 01;Banská Štiavnica
Koncová;969 01;Banská Štiavnica
Kremenisko;969 01;Banská Štiavnica
Kríková;969 01;Banská Štiavnica
Krížna;969 01;Banská Štiavnica
Križovatka;969 01;Banská Štiavnica
Kutnohorská;969 01;Banská Štiavnica
Kysihýbelská;969 01;Banská Štiavnica
Ladislava Exnára;969 01;Banská Štiavnica
Ladislava Novomeského;969 01;Banská Štiavnica
Lesnícka;969 01;Banská Štiavnica
Lintich;969 01;Banská Štiavnica
Ľudmily Podjavorinskej;969 01;Banská Štiavnica
Ľudovíta Štúra;969 01;Banská Štiavnica
Ludvíka Svobodu;969 01;Banská Štiavnica
Majer;969 01;Banská Štiavnica
Malá okružná;969 01;Banská Štiavnica
Malé trhovisko;969 01;Banská Štiavnica
Martina Benku;969 01;Banská Štiavnica
Martina Hattalu;969 01;Banská Štiavnica
Martina Kukučína;969 01;Banská Štiavnica
Mierová;969 01;Banská Štiavnica
Michala Miloslava Hodžu;969 01;Banská Štiavnica
Michalská;969 01;Banská Štiavnica
Mládežnícka;969 01;Banská Štiavnica
MUDr. Jána Straku;969 01;Banská Štiavnica
Na Jazero;969 01;Banská Štiavnica
Na Mária šachtu;969 01;Banská Štiavnica
Na Matej štôlňu;969 01;Banská Štiavnica
Na Maximilan šachtu;969 01;Banská Štiavnica
Na Zigmund šachtu;969 01;Banská Štiavnica
Nad Rozgrundom;969 01;Banská Štiavnica
Námestie padlých hrdinov;969 01;Banská Štiavnica
Námestie sv.Trojice;969 01;Banská Štiavnica
Novozámocká;969 01;Banská Štiavnica
Obchodná;969 01;Banská Štiavnica
Obrancov mieru;969 01;Banská Štiavnica
Okrajová;969 01;Banská Štiavnica
Okrúhla;969 01;Banská Štiavnica
Osadná;969 01;Banská Štiavnica
Ovocná;969 01;Banská Štiavnica
Partizánska;969 01;Banská Štiavnica
Pátrovská;969 01;Banská Štiavnica
Pavla Dobšinského;969 01;Banská Štiavnica
Pavla Kyrmezera;969 01;Banská Štiavnica
Pavla Országha Hviezdoslava;969 01;Banská Štiavnica
Petra Jilemnického;969 01;Banská Štiavnica
Pletiarska;969 01;Banská Štiavnica
Počúvadlianske jazero;969 01;Banská Štiavnica
Pod Červenou studňou;969 01;Banská Štiavnica
Pod Kalváriou;969 01;Banská Štiavnica
Pod Paradajzom;969 01;Banská Štiavnica
Pod Trojickým vrchom;969 01;Banská Štiavnica
Podhájska;969 01;Banská Štiavnica
Poľnohospodárska;969 01;Banská Štiavnica
Poľovnícka;969 01;Banská Štiavnica
Potočná;969 01;Banská Štiavnica
Povrazník;969 01;Banská Štiavnica
Požiarnická;969 01;Banská Štiavnica
Pustá;966 15;Banská Štiavnica
Radničné námestie;969 01;Banská Štiavnica
Rakytová;969 01;Banská Štiavnica
Remeselnícka;969 01;Banská Štiavnica
Robotnícka;969 01;Banská Štiavnica
Roľnícka;969 01;Banská Štiavnica
Rudolfa Debnárika;969 01;Banská Štiavnica
Sama Chalupku;969 01;Banská Štiavnica
Samuela Mikovínyho;969 01;Banská Štiavnica
Slovanská;969 01;Banská Štiavnica
SNP;969 01;Banská Štiavnica
Spojná;969 01;Banská Štiavnica
Srnčia;969 01;Banská Štiavnica
Staničná;969 01;Banská Štiavnica
Staromestská;969 01;Banská Štiavnica
Staronová;969 01;Banská Štiavnica
Starozámocká;969 01;Banská Štiavnica
Stratená;969 01;Banská Štiavnica
Strieborná;969 01;Banská Štiavnica
Svätozára Hurbana Vajanského;969 01;Banská Štiavnica
Školská;969 01;Banská Štiavnica
Šobov;969 01;Banská Štiavnica
Špitálska;969 01;Banská Štiavnica
Športová;969 01;Banská Štiavnica
Štefana Krčméryho;969 01;Banská Štiavnica
Štefana Moyzesa;969 01;Banská Štiavnica
Tabaková;969 01;Banská Štiavnica
Trate mládeže;969 01;Banská Štiavnica
Učiteľská;969 01;Banská Štiavnica
Údolná;969 01;Banská Štiavnica
Úvozná;969 01;Banská Štiavnica
Úzka;969 01;Banská Štiavnica
Viery Václavekovej;969 01;Banská Štiavnica
Vilová;969 01;Banská Štiavnica
Vodárenská;969 01;Banská Štiavnica
Vyhnianska;969 01;Banská Štiavnica
Výskumnícka;969 01;Banská Štiavnica
Záhradná;969 01;Banská Štiavnica
Zvonová;969 01;Banská Štiavnica
Železničiarska;969 01;Banská Štiavnica
29.augusta;085 01;Bardejov
9.mája;085 01;Bardejov
Andraščíkova;085 01;Bardejov
Andreja Svianteka;085 01;Bardejov
Astrová ulica;086 31;Bardejov
Azalková ulica;086 31;Bardejov
B.S.Timravy;085 01;Bardejov
Bardejovská Zábava;085 01;Bardejov
Bardejovské Kúpele;086 31;Bardejov
Baštová;085 01;Bardejov
Bernolákova;085 01;Bardejov
Bezručova;085 01;Bardejov
Brezová;085 01;Bardejov
Buková ulica;085 01;Bardejov
Cintorínska;085 01;Bardejov
Čerešňová;085 01;Bardejov
Českej Lípy;085 01;Bardejov
Dlhá;085 01;Bardejov
Dlhý rad;085 01;Bardejov
Dobšinského ulica;085 01;Bardejov
Družstevná;085 01;Bardejov
Dubová;085 01;Bardejov
Dujava;085 01;Bardejov
Duklianska;085 01;Bardejov
Fraňa Kráľa;085 01;Bardejov
Františkánov;085 01;Bardejov
Fučíkova;085 01;Bardejov
Giraltovská;085 01;Bardejov
Gorkého;085 01;Bardejov
Gorlická;085 01;Bardejov
Gróner;085 01;Bardejov
Gutgeselova;085 01;Bardejov
Hlavná;085 01;Bardejov
Homolkova;085 01;Bardejov
Hurbanova;085 01;Bardejov
Hviezdoslavova;085 01;Bardejov
Chmelník;085 01;Bardejov
Chyzerova;085 01;Bardejov
J.Grešáka;085 01;Bardejov
J.Jesenského;085 01;Bardejov
Jabloňová;085 01;Bardejov
Jána Bottu;085 01;Bardejov
Jána Kalinčiaka;085 01;Bardejov
Jána Švermu;085 01;Bardejov
Janka Matušku;085 01;Bardejov
Jiráskova;085 01;Bardejov
Kacvinského;085 01;Bardejov
Kamenec;085 01;Bardejov
Kellerova;085 01;Bardejov
Kláštorská;085 01;Bardejov
Klinčeková ulica;086 31;Bardejov
Komenského;085 01;Bardejov
Kostolná;085 01;Bardejov
Kpt.Nálepku;085 01;Bardejov
Krátka;085 01;Bardejov
Krátky rad;085 01;Bardejov
Krátky Riadok;085 01;Bardejov
Kukorelliho;085 01;Bardejov
Kukučínova;085 01;Bardejov
Kúpeľná;085 01;Bardejov
Kutuzovova;085 01;Bardejov
